,surface_composition,density,band_gap,efermi,formation_energy_per_atom,total_magnetization,volume,energy_per_atom,pretty_formula,material_id
1694,NbTa,12.407336172495045,0.0,5.09964765,0.007608929999999958,2.9e-06,36.65135617852667,-10.97193223,TaNb,mp-1217892
1695,ScSn,5.750808443013353,0.0,7.16225181,-0.4493353925000001,0.0019965,47.258336534734525,-5.611717435,ScSn,mp-1206765
1696,AlRe,12.276299972751703,0.0,8.72772399,-0.31577989500000037,1.95e-05,57.67338655497386,-8.4108314025,AlRe,mp-1228815
1697,OsW,,,,,,,,,
1698,GaW,,,,,,,,,
1699,CdV,,,,,,,,,
1700,CoTl,,,,,,,,,
1701,NbW,13.431388320259298,0.0,5.71892568,-0.04151856500000051,0.0003504,34.21449552143223,-11.57123432,NbW,mp-1220316
1702,IrY,11.485531008146856,0.0,5.71828616,-0.777454811666666,2.73e-05,40.64378691832469,-8.42970735,YIr,mp-30746
1703,AgGa,8.078764799349704,0.0,3.70356911,0.051707933333333234,0.0129283,36.50274922078577,-2.878601555,GaAg,mp-11478
1704,ReW,,,,,,,,,
1705,ScTa,,,,,,,,,
1706,CuV,,,,,,,,,
1707,AlZr,4.961626929465305,0.0,5.31067462,-0.46237619500000005,0.00025815,79.12119049827358,-6.609014425,ZrAl,mp-11233
1708,CdCu,,,,,,,,,
1709,CuHg,,,,,,,,,
1710,HgMo,,,,,,,,,
1711,HgTc,,,,,,,,,
1712,HgRu,,,,,,,,,
1713,SnV,,,,,,,,,
1714,Pb3Sn,10.015734390250655,0.0,7.03946666,0.03394687750000003,0.0002699,245.47649298513014,-3.74856903,SnPb3,mp-1187118
1715,CrPb,,,,,,,,,
1716,CrIr,15.376793145521496,0.0,8.46751971,-0.1426716800000012,0.0047122,26.37255956347452,-9.388410625,CrIr,mp-1226229
1717,Sn3Ta,9.625194576612778,0.0,8.78786084,0.4480754274999992,0.3460853,185.31340731826654,-5.5105901275,TaSn3,mp-1187261
1718,Zr3Sn,7.2201706534417385,0.0,5.87615628,-0.3692399812500007,0.19004805,180.48483098389102,-7.77808919875,Zr3Sn,mp-30876
1719,Pb3W,,,,,,,,,
1720,Os3Hg,,,,,,,,,
1721,Tc3Cr,,,,,,,,,
1722,AgNi,,,,,,,,,
1723,Tc3V,,,,,,,,,
1724,Tl3Zr,,,,,,,,,
1725,Tc3Fe,,,,,,,,,
1726,Zr3Au,9.202326489456334,0.0,4.55231007,-0.3470560837500001,0.00091995,169.85133726099536,-7.57630194125,Zr3Au,mp-11263
1727,Sc3W,,,,,,,,,
1728,Ag3Tl,,,,,,,,,
1729,Sc3Zr,,,,,,,,,
1730,Sc3Hf,,,,,,,,,
1731,Zr3Sc,5.604938365848385,0.0,4.0722998,-0.030420505000000375,0.00335285,188.79568732067625,-8.02431325375,Zr3Sc,mp-1188062
1732,TaTi,10.746615063570298,0.0,5.58352202,0.06037822000000048,0.0591736,35.35588136467223,-9.81603684,TaTi,mp-1217887
1733,Ta3Nb,,,,,,,,,
1734,Ta3Zr,,,,,,,,,
1735,Ta3Ti,,,,,,,,,
1736,Nb3Ta,,,,,,,,,
1737,Cr3Y,,,,,,,,,
1738,Cr3Ta,,,,,,,,,
1739,Cr3V,7.195388401069678,0.0,6.67763292,-0.05449777249999954,0.0201309,47.75489491194696,-9.5648724175,VCr3,mp-1187696
1740,Mo3Re,12.534415736537218,0.0,8.41908862,0.06106351624999995,0.0081612,62.79832811263168,-11.184294635,ReMo3,mp-1219493
1741,W3Ta,18.290845529241075,0.0,6.52427237,-0.09023668999999934,0.0007812,66.49728290719139,-12.7732758625,TaW3,mp-979289
1742,W3Cr,,,,,,,,,
1743,Tc3Re,13.571379680661046,0.0,8.02009611,-0.0020222237500000517,0.00225995,117.51236828059113,-10.8836189525,ReTc3,mp-974492
1744,Tc3Os,13.85481799898635,0.0,8.32056394,-0.0554893174999993,0.00024485,116.07266616978245,-10.6327878625,Tc3Os,mp-862779
1745,Os3Hf,19.828762867743084,0.0,7.10714475,-0.09532867000000067,4.6e-05,62.73929776724316,-11.0051257,HfOs3,mp-1007693
1746,Ru3Sc,9.457204298797947,0.0,6.77164561,-0.050153293750000216,0.1414683,61.13255886921066,-8.5890624025,ScRu3,mp-973022
1747,Ru3Zr,10.422780866850673,0.0,6.62239267,-0.15063261999999966,0.0005944,62.84052927548593,-9.24334961,ZrRu3,mp-1017544
1748,Ru3Ti,10.139813893026869,0.0,7.49360046,-0.20843583250000108,0.000256,57.493863303116484,-9.137990875,TiRu3,mp-998947
1749,Ru3Tc,11.852003885921034,0.0,8.27227703,-0.06723252125000023,0.0001466,112.42400615510981,-9.61317933125,TcRu3,mp-867356
1750,Rh3Ta,13.660786010367957,0.0,6.78872129,-0.6135401649999999,6.41e-05,59.52123339721111,-9.081866655,TaRh3,mp-1020
1751,Rh3Tc,11.861769207627566,0.0,7.60197334,-0.08781722374999923,0.0002114,113.87317110276118,-8.18185437125,TcRh3,mp-867352
1752,Ni3Ti,7.9581298612970945,0.0,8.06566768,-0.4831274137500001,3.98e-05,186.91480583357654,-6.79175697375,TiNi3,mp-1409
1753,Ni3Mo,9.512797164047722,0.0,8.41997988,-0.09327552999999966,0.00079995,94.96684544299598,-7.139550665,Ni3Mo,mp-11506
1754,Ni3W,,,,,,,,,
1755,Ni3Tc,,,,,,,,,
1756,Ni3Ru,,,,,,,,,
1757,Co3V,8.706330002505448,0.0,6.01137963,-0.17287219833333367,0.07004156666666667,260.61932084141756,-7.774699587083333,VCo3,mp-542614
1758,Fe3Mo,9.34680541669696,0.0,6.63806825,0.08669505750000006,0.00772745,93.61712608050539,-8.9766865075,Fe3Mo,mp-985475
1759,Mn3V,,,,,,,,,
1760,Mn3Mo,,,,,,,,,
1761,Mn3W,,,,,,,,,
1762,Mn3Re,11.81573283902016,0.0,6.70918958,0.059582929008620056,3.8598417,49.33120237323419,-9.92282872,Mn3Re,mp-1185924
